# Cluster: Cluster 3
# Cluster name: Cluster
# Cluster noise flag: false
# Cluster size: 17
# Model class: de.lmu.ifi.dbs.elki.data.model.MeanModel
# Cluster Mean: 262.1697647058823, -65.85117647058824
ID=10428 251.674 -71.484
ID=10424 271.78 -74.422
ID=10426 267.97 -84.582
ID=10416 256.754 -57.928
ID=10418 261.834 -61.484
ID=10423 271.994 -71.484
ID=10419 266.914 -57.928
ID=10422 277.074 -57.928
ID=10420 271.994 -57.928
ID=10421 271.994 -61.484
ID=10429 241.514 -71.484
ID=10425 271.78 -84.582
ID=10427 261.834 -71.484
ID=10417 261.834 -57.928
ID=10413 246.594 -57.928
ID=10414 251.674 -57.928
ID=10415 251.674 -61.484
