# Cluster: Cluster 1
# Cluster name: Cluster
# Cluster noise flag: false
# Cluster size: 16
# Model class: de.lmu.ifi.dbs.elki.data.model.MeanModel
# Cluster Mean: 218.3365, -31.069250000000004
ID=10296 205.954 -33.29
ID=10261 236.434 -19.574
ID=10298 211.034 -33.29
ID=10341 221.194 -43.45
ID=10302 226.274 -33.29
ID=10300 216.114 -29.574
ID=10297 205.954 -29.574
ID=10262 226.274 -19.574
ID=10299 216.114 -33.29
ID=10303 226.274 -29.574
ID=10301 221.194 -33.29
ID=10342 216.114 -43.45
ID=10345 211.034 -43.45
ID=10304 231.354 -33.29
ID=10264 205.954 -19.574
ID=10263 216.114 -19.574
