# Cluster: Cluster 6
# Cluster name: Cluster
# Cluster noise flag: false
# Cluster size: 17
# Model class: de.lmu.ifi.dbs.elki.data.model.MeanModel
# Cluster Mean: 227.76811764705883, -56.0564705882353
ID=10430 231.354 -71.484
ID=10405 221.194 -57.928
ID=10407 226.274 -57.928
ID=10343 216.114 -47.768
ID=10337 231.354 -43.45
ID=10338 226.274 -43.45
ID=10340 221.194 -47.768
ID=10339 226.274 -47.768
ID=10336 231.354 -47.768
ID=10431 221.194 -71.484
ID=10406 221.194 -61.484
ID=10404 216.114 -57.928
ID=10412 241.514 -61.484
ID=10409 231.354 -61.484
ID=10408 231.354 -57.928
ID=10410 236.434 -57.928
ID=10411 241.514 -57.928
