# Cluster: Cluster 14
# Cluster name: Cluster
# Cluster noise flag: false
# Cluster size: 17
# Model class: de.lmu.ifi.dbs.elki.data.model.MeanModel
# Cluster Mean: 147.68341176470588, -56.853882352941184
ID=10372 139.914 -47.768
ID=10438 150.074 -71.484
ID=10385 150.074 -61.484
ID=10381 139.914 -57.928
ID=10380 134.834 -57.928
ID=10383 144.994 -57.928
ID=10382 139.914 -61.484
ID=10367 155.154 -47.768
ID=10439 139.914 -71.484
ID=10386 155.154 -57.928
ID=10384 150.074 -57.928
ID=10437 160.234 -71.484
ID=10371 144.994 -47.768
ID=10388 160.234 -61.484
ID=10370 144.994 -43.45
ID=10368 150.074 -47.768
ID=10369 150.074 -43.45
