# Cluster: Cluster 4
# Cluster name: Cluster
# Cluster noise flag: false
# Cluster size: 16
# Model class: de.lmu.ifi.dbs.elki.data.model.MeanModel
# Cluster Mean: 107.68512500000001, -70.62650000000001
ID=10461 94.006 -79.452
ID=10378 129.754 -57.928
ID=10457 94.006 -59.452
ID=10459 94.006 -69.452
ID=10379 129.754 -61.484
ID=10440 129.754 -71.484
ID=10446 114.006 -59.452
ID=10444 114.006 -69.452
ID=10445 114.006 -64.452
ID=10441 121.0 -81.0
ID=10442 114.006 -79.452
ID=10443 114.006 -74.452
ID=10463 84.034 -79.518
ID=10462 88.606 -84.09
ID=10460 94.006 -74.452
ID=10458 94.006 -64.452
