# Cluster: Cluster 0
# Cluster name: Cluster
# Cluster noise flag: false
# Cluster size: 17
# Model class: de.lmu.ifi.dbs.elki.data.model.MeanModel
# Cluster Mean: 76.59329411764705, -67.41564705882352
ID=10465 84.034 -74.438
ID=10467 75.398 -76.47
ID=10471 75.398 -71.39
ID=10469 75.398 -81.55
ID=10479 75.398 -51.07
ID=10480 75.398 -48.53
ID=10464 84.034 -76.978
ID=10466 75.398 -73.93
ID=10470 78.446 -84.09
ID=10468 75.398 -79.01
ID=10478 75.398 -53.61
ID=10477 75.398 -56.15
ID=10476 75.398 -58.69
ID=10472 75.398 -68.85
ID=10473 75.398 -66.31
ID=10475 75.398 -61.23
ID=10474 75.398 -63.77
