# Cluster: Cluster 5
# Cluster name: Cluster
# Cluster noise flag: false
# Cluster size: 17
# Model class: de.lmu.ifi.dbs.elki.data.model.MeanModel
# Cluster Mean: 56.28270588235294, -71.20694117647058
ID=10498 60.158 -61.23
ID=10496 60.158 -56.15
ID=10502 60.158 -71.39
ID=10510 39.878 -87.122
ID=10500 60.158 -66.31
ID=10506 60.158 -81.55
ID=10508 44.958 -87.122
ID=10507 47.498 -87.122
ID=10504 60.158 -76.47
ID=10505 60.158 -79.01
ID=10497 60.158 -58.69
ID=10499 60.158 -63.77
ID=10503 60.158 -73.93
ID=10509 42.418 -87.122
ID=10501 60.158 -68.85
ID=10494 60.158 -51.07
ID=10495 60.158 -53.61
