# Cluster: Cluster 10
# Cluster name: Cluster
# Cluster noise flag: false
# Cluster size: 16
# Model class: de.lmu.ifi.dbs.elki.data.model.MeanModel
# Cluster Mean: 158.964, -30.20200000000001
ID=10267 175.474 -19.574
ID=10366 155.154 -43.45
ID=10288 175.474 -29.574
ID=10269 155.154 -19.574
ID=10279 144.994 -29.574
ID=10278 144.994 -33.29
ID=10365 160.234 -43.45
ID=10270 144.994 -19.574
ID=10268 165.314 -19.574
ID=10280 150.074 -33.29
ID=10281 155.154 -33.29
ID=10283 160.234 -33.29
ID=10282 155.154 -29.574
ID=10286 170.394 -33.29
ID=10284 165.314 -33.29
ID=10285 165.314 -29.574
