# Cluster: Cluster 13
# Cluster name: Cluster
# Cluster noise flag: false
# Cluster size: 17
# Model class: de.lmu.ifi.dbs.elki.data.model.MeanModel
# Cluster Mean: 200.874, -57.705529411764715
ID=10397 190.714 -61.484
ID=10399 200.874 -57.928
ID=10434 190.714 -71.484
ID=10403 211.034 -61.484
ID=10395 185.634 -57.928
ID=10401 205.954 -57.928
ID=10400 200.874 -61.484
ID=10396 190.714 -57.928
ID=10433 200.874 -71.484
ID=10402 211.034 -57.928
ID=10398 195.794 -57.928
ID=10346 205.954 -43.45
ID=10347 205.954 -47.768
ID=10344 211.034 -47.768
ID=10351 195.794 -47.768
ID=10348 200.874 -47.768
ID=10432 211.034 -71.484
