# Cluster: Cluster 8
# Cluster name: Cluster
# Cluster noise flag: false
# Cluster size: 17
# Model class: de.lmu.ifi.dbs.elki.data.model.MeanModel
# Cluster Mean: 127.214, -35.061882352941176
ID=10271 134.834 -19.574
ID=10447 114.006 -44.4
ID=10376 129.754 -47.768
ID=10374 134.834 -43.45
ID=10377 129.754 -43.45
ID=10276 134.834 -29.574
ID=10277 139.914 -33.29
ID=10272 124.674 -19.574
ID=10275 134.834 -33.29
ID=10273 124.674 -29.574
ID=10274 129.754 -33.29
ID=10373 139.914 -43.45
ID=10375 134.834 -47.768
ID=10448 114.006 -39.4
ID=10449 114.006 -34.4
ID=10451 114.006 -24.4
ID=10450 114.006 -29.4
